	subject_ID	age	gender	site
0	sub1670	19.0	f	2
1	sub2717	55.0	m	7
2	sub358	27.0	m	2
3	sub1076	21.0	f	2
4	sub1075	25.0	f	1
5	sub1078	35.0	m	0
6	sub1668	36.0	f	0
7	sub2067	51.0	m	2
8	sub1722	21.0	m	13
9	sub3119	50.0	f	2
10	sub202	22.0	m	13
11	sub1791	42.0	f	0
12	sub2700	24.0	f	8
13	sub1796	21.0	m	8
14	sub411	43.0	f	10
15	sub864	27.0	f	1
16	sub1046	23.0	f	0
17	sub1117	22.0	f	2
18	sub940	24.0	f	2
19	sub2353	41.0	m	2
20	sub3062	30.0	f	14
21	sub1454	47.0	m	2
22	sub2384	32.0	m	1
23	sub1195	43.82	m	9
24	sub1174	34.0	m	13
25	sub1260	22.0	m	14
26	sub2517	22.0	f	0
27	sub2518	20.0	m	3
28	sub1638	20.0	f	16
29	sub42	41.75	f	9
30	sub3019	23.0	f	1
31	sub1356	20.0	m	8
32	sub2186	58.0	f	2
33	sub2772	40.0	f	2
34	sub986	39.0	f	2
35	sub2912	24.0	m	4
36	sub2290	26.0	m	8
37	sub1394	24.0	m	0
38	sub1119	23.0	f	12
39	sub1909	22.0	f	2
40	sub730	37.0	m	10
41	sub1767	18.0	f	14
42	sub751	28.0	m	8
43	sub1751	25.0	f	1
44	sub538	46.71	m	9
45	sub2157	58.0	f	6
46	sub626	36.42	f	9
47	sub3004	41.0	m	0
48	sub1798	23.0	f	10
49	sub2733	26.0	m	0
50	sub2691	36.92	f	9
51	sub2216	31.0	m	3
52	sub2852	22.0	f	2
53	sub2521	65.11	f	9
54	sub2552	35.0	m	10
55	sub1094	22.0	m	8
56	sub1384	56.96	m	9
57	sub425	30.0	m	10
58	sub810	24.0	m	2
59	sub3254	25.0	m	16
60	sub1881	19.96	m	5
61	sub150	21.0	f	3
62	sub3180	24.0	f	2
63	sub74	55.0	m	13
64	sub1896	41.0	m	10
65	sub272	53.0	f	2
66	sub3115	23.0	f	4
67	sub758	20.0	f	4
68	sub7	22.0	f	0
69	sub2904	33.0	m	3
70	sub193	19.0	m	8
71	sub656	49.0	f	0
72	sub2350	23.0	m	13
73	sub409	29.0	m	8
74	sub3183	59.0	m	2
75	sub449	28.0	m	14
76	sub1522	29.0	f	8
77	sub2833	49.0	m	0
78	sub2041	25.0	f	16
79	sub6	33.0	m	2
80	sub1695	19.0	m	3
81	sub1993	21.0	m	1
82	sub2168	41.0	m	0
83	sub2226	20.0	f	8
84	sub1809	46.0	f	14
85	sub3226	55.0	m	2
86	sub1574	31.9	f	9
87	sub2955	45.0	f	12
88	sub571	28.0	f	2
89	sub1016	24.6352	f	15
90	sub767	22.0	m	8
91	sub2686	47.0	f	1
92	sub2726	28.0	f	3
93	sub678	63.87	m	9
94	sub206	70.52	m	9
95	sub1453	55.0	f	0
96	sub1494	37.0	f	2
97	sub3097	25.0	m	3
98	sub2254	52.0	f	2
99	sub125	43.0	m	13
100	sub504	25.0	f	2
101	sub1039	21.0	f	14
102	sub3258	21.0	f	13
103	sub1607	18.0	f	0
104	sub416	35.0	f	2
