	subject_ID	age	gender	site
0	sub2609	41.0	m	13
1	sub1670	19.0	f	2
2	sub2717	55.0	m	7
3	sub2949	22.0	m	3
4	sub944	21.0	f	1
5	sub1076	21.0	f	2
6	sub1075	25.0	f	1
7	sub863	70.0	f	14
8	sub1078	35.0	m	0
9	sub1668	36.0	f	0
10	sub2047	23.0	f	0
11	sub2067	51.0	m	2
12	sub2535	29.0	f	0
13	sub2700	24.0	f	8
14	sub2696	20.0	f	2
15	sub411	43.0	f	10
16	sub864	27.0	f	1
17	sub1046	23.0	f	0
18	sub1117	22.0	f	2
19	sub940	24.0	f	2
20	sub2353	41.0	m	2
21	sub1704	28.0	m	14
22	sub1454	47.0	m	2
23	sub2384	32.0	m	1
24	sub2448	27.0	m	0
25	sub1174	34.0	m	13
26	sub1260	22.0	m	14
27	sub2517	22.0	f	0
28	sub2122	20.0	f	14
29	sub42	41.75	f	9
30	sub2186	58.0	f	2
31	sub2772	40.0	f	2
32	sub2912	24.0	m	4
33	sub1310	28.0	f	0
34	sub1840	49.0	m	2
35	sub797	21.0	f	12
36	sub1119	23.0	f	12
37	sub3085	23.0	m	8
38	sub1894	34.0	f	2
39	sub1767	18.0	f	14
40	sub2540	33.0	m	2
41	sub751	28.0	m	8
42	sub1751	25.0	f	1
43	sub538	46.71	m	9
44	sub2157	58.0	f	6
45	sub1654	22.0	f	4
46	sub626	36.42	f	9
47	sub3004	41.0	m	0
48	sub2733	26.0	m	0
49	sub2691	36.92	f	9
50	sub2216	31.0	m	3
51	sub2852	22.0	f	2
52	sub402	62.43	f	9
53	sub2849	19.0	m	8
54	sub1094	22.0	m	8
55	sub1384	56.96	m	9
56	sub425	30.0	m	10
57	sub3254	25.0	m	16
58	sub1881	19.96	m	5
59	sub150	21.0	f	3
60	sub3180	24.0	f	2
61	sub74	55.0	m	13
62	sub399	42.0	f	0
63	sub272	53.0	f	2
64	sub3115	23.0	f	4
65	sub7	22.0	f	0
66	sub2904	33.0	m	3
67	sub193	19.0	m	8
68	sub19	33.14	f	9
69	sub2937	47.0	f	2
70	sub656	49.0	f	0
71	sub2350	23.0	m	13
72	sub3183	59.0	m	2
73	sub449	28.0	m	14
74	sub1522	29.0	f	8
75	sub1527	22.0	m	1
76	sub803	29.0	f	7
77	sub2508	34.0	f	2
78	sub2833	49.0	m	0
79	sub911	29.0	f	2
80	sub2041	25.0	f	16
81	sub6	33.0	m	2
82	sub1695	19.0	m	3
83	sub1993	21.0	m	1
84	sub2168	41.0	m	0
85	sub2387	22.0	m	2
86	sub3226	55.0	m	2
87	sub2754	28.0	f	0
88	sub1574	31.9	f	9
89	sub2955	45.0	f	12
90	sub1016	24.6352	f	15
91	sub767	22.0	m	8
92	sub2686	47.0	f	1
93	sub2726	28.0	f	3
94	sub678	63.87	m	9
95	sub1453	55.0	f	0
96	sub1494	37.0	f	2
97	sub3097	25.0	m	3
98	sub2254	52.0	f	2
99	sub3083	24.0	f	14
100	sub125	43.0	m	13
101	sub504	25.0	f	2
102	sub1039	21.0	f	14
103	sub3258	21.0	f	13
104	sub1607	18.0	f	0
105	sub1323	42.0	f	0
106	sub1054	31.81	m	9
107	sub2867	42.0	f	0
108	sub36	23.0	f	2
109	sub386	25.0	f	2
110	sub2429	31.0	m	10
111	sub1568	33.0	m	9
112	sub693	22.0	f	4
113	sub2611	29.0	m	3
114	sub1220	24.0	f	2
115	sub3145	54.66	f	9
116	sub1457	24.0	f	1
117	sub566	47.0	f	2
118	sub2128	29.0	m	1
119	sub3039	31.58	f	9
120	sub888	22.0	m	8
121	sub476	70.5	f	9
122	sub2687	24.0	f	0
123	sub3066	59.89	f	9
124	sub629	26.0	f	2
125	sub2899	65.0	f	1
126	sub929	48.0	f	0
127	sub3032	60.97	m	9
128	sub2415	56.0	m	0
129	sub3111	19.0	m	8
130	sub1239	33.0	f	8
131	sub2706	25.0	f	8
132	sub395	67.46	f	9
133	sub686	24.0	f	1
134	sub867	21.0	m	3
135	sub615	28.0	m	3
136	sub403	23.0	f	0
137	sub1969	23.0	m	0
138	sub2885	27.0	m	3
139	sub1525	32.0	f	8
140	sub188	55.6	f	9
141	sub650	62.96	f	9
142	sub514	26.0	m	0
143	sub3108	20.0	f	10
144	sub118	25.0	m	2
145	sub2283	60.54	m	9
146	sub2769	19.0	f	4
147	sub874	26.0	f	8
148	sub3100	29.0	f	8
149	sub2709	40.0	f	2
150	sub816	24.0	f	4
151	sub2104	33.59	m	9
152	sub734	19.0	m	2
153	sub3273	24.0	m	8
154	sub744	47.0	f	2
155	sub2139	29.0	m	10
156	sub2482	67.0	f	14
157	sub1927	27.0	f	13
158	sub1444	47.72	m	9
159	sub2788	21.0	m	13
160	sub2822	43.0	m	2
161	sub1464	31.0	m	2
162	sub1145	23.0	m	1
163	sub2640	18.0	f	8
164	sub1818	26.0	f	2
165	sub1662	23.0	m	0
166	sub3161	23.0	m	1
167	sub1572	58.77	f	9
168	sub1503	67.77	m	9
169	sub802	23.0	f	0
170	sub2775	24.0	f	7
171	sub745	43.0	f	2
172	sub2920	28.24	m	9
173	sub488	68.13	m	9
174	sub2172	44.0	f	2
175	sub638	21.0	m	2
176	sub2967	23.0	m	4
177	sub520	64.75	m	9
178	sub3264	23.0	m	8
179	sub2908	61.15	f	9
180	sub1571	55.58	f	9
181	sub1968	54.0	f	14
182	sub3232	22.0	f	0
183	sub1317	71.0	m	14
184	sub144	29.0	f	0
185	sub218	68.47	m	11
186	sub2745	31.59	f	9
187	sub2120	31.0	m	12
188	sub3150	21.0	f	4
189	sub1103	74.0	m	14
190	sub853	56.0	f	2
191	sub1056	25.93	f	9
192	sub2282	34.0	m	3
193	sub1653	30.0	m	0
194	sub2119	57.0	m	6
195	sub1940	57.0	m	2
196	sub1496	21.0	f	14
197	sub2298	57.0	m	14
198	sub376	28.37	f	9
199	sub836	31.0	f	2
200	sub1575	20.0	f	14
201	sub545	21.0	m	13
202	sub732	31.0	m	3
203	sub5	48.0	m	3
204	sub444	19.0	m	16
205	sub554	58.66	m	9
206	sub505	22.0	m	1
207	sub281	19.0	f	4
208	sub2213	24.38	m	9
209	sub581	41.1	f	9
210	sub1832	73.0	f	14
211	sub1687	33.08	f	9
212	sub2161	24.0	f	1
213	sub3118	26.0	f	1
214	sub1223	26.0	m	0
215	sub1446	21.0	m	2
