	subject_ID	age	gender	site
0	sub2609	41.0	m	13
1	sub1670	19.0	f	2
2	sub358	27.0	m	2
3	sub2949	22.0	m	3
4	sub944	21.0	f	1
5	sub1076	21.0	f	2
6	sub863	70.0	f	14
7	sub1668	36.0	f	0
8	sub2047	23.0	f	0
9	sub2067	51.0	m	2
10	sub1722	21.0	m	13
11	sub3119	50.0	f	2
12	sub2535	29.0	f	0
13	sub202	22.0	m	13
14	sub1791	42.0	f	0
15	sub2700	24.0	f	8
16	sub1796	21.0	m	8
17	sub2696	20.0	f	2
18	sub411	43.0	f	10
19	sub864	27.0	f	1
20	sub1046	23.0	f	0
21	sub940	24.0	f	2
22	sub1704	28.0	m	14
23	sub3062	30.0	f	14
24	sub1454	47.0	m	2
25	sub2384	32.0	m	1
26	sub1195	43.82	m	9
27	sub2448	27.0	m	0
28	sub1260	22.0	m	14
29	sub2122	20.0	f	14
30	sub2518	20.0	m	3
31	sub1638	20.0	f	16
32	sub3019	23.0	f	1
33	sub1356	20.0	m	8
34	sub2186	58.0	f	2
35	sub986	39.0	f	2
36	sub1310	28.0	f	0
37	sub1840	49.0	m	2
38	sub797	21.0	f	12
39	sub2290	26.0	m	8
40	sub1394	24.0	m	0
41	sub1119	23.0	f	12
42	sub1909	22.0	f	2
43	sub730	37.0	m	10
44	sub3085	23.0	m	8
45	sub1894	34.0	f	2
46	sub1767	18.0	f	14
47	sub2540	33.0	m	2
48	sub751	28.0	m	8
49	sub1751	25.0	f	1
50	sub2157	58.0	f	6
51	sub1654	22.0	f	4
52	sub3004	41.0	m	0
53	sub1798	23.0	f	10
54	sub2733	26.0	m	0
55	sub2691	36.92	f	9
56	sub2216	31.0	m	3
57	sub2852	22.0	f	2
58	sub402	62.43	f	9
59	sub2849	19.0	m	8
60	sub2521	65.11	f	9
61	sub2552	35.0	m	10
62	sub1094	22.0	m	8
63	sub1384	56.96	m	9
64	sub425	30.0	m	10
65	sub810	24.0	m	2
66	sub1881	19.96	m	5
67	sub150	21.0	f	3
68	sub3180	24.0	f	2
69	sub74	55.0	m	13
70	sub1896	41.0	m	10
71	sub399	42.0	f	0
72	sub272	53.0	f	2
73	sub758	20.0	f	4
74	sub7	22.0	f	0
75	sub2904	33.0	m	3
76	sub193	19.0	m	8
77	sub19	33.14	f	9
78	sub2937	47.0	f	2
79	sub656	49.0	f	0
80	sub2350	23.0	m	13
81	sub409	29.0	m	8
82	sub3183	59.0	m	2
83	sub449	28.0	m	14
84	sub1522	29.0	f	8
85	sub1527	22.0	m	1
86	sub803	29.0	f	7
87	sub2508	34.0	f	2
88	sub911	29.0	f	2
89	sub2041	25.0	f	16
90	sub6	33.0	m	2
91	sub1695	19.0	m	3
92	sub2168	41.0	m	0
93	sub2226	20.0	f	8
94	sub1809	46.0	f	14
95	sub2387	22.0	m	2
96	sub3226	55.0	m	2
97	sub2754	28.0	f	0
98	sub2955	45.0	f	12
99	sub571	28.0	f	2
100	sub2686	47.0	f	1
101	sub2726	28.0	f	3
102	sub678	63.87	m	9
103	sub206	70.52	m	9
104	sub1453	55.0	f	0
105	sub1494	37.0	f	2
106	sub2254	52.0	f	2
107	sub3083	24.0	f	14
108	sub125	43.0	m	13
109	sub504	25.0	f	2
110	sub1039	21.0	f	14
111	sub3258	21.0	f	13
112	sub416	35.0	f	2
113	sub1323	42.0	f	0
114	sub1054	31.81	m	9
115	sub1951	31.96	f	9
116	sub36	23.0	f	2
117	sub386	25.0	f	2
118	sub2429	31.0	m	10
119	sub1568	33.0	m	9
120	sub693	22.0	f	4
121	sub2611	29.0	m	3
122	sub1220	24.0	f	2
123	sub182	23.0	f	2
124	sub1457	24.0	f	1
125	sub2303	24.0	f	2
126	sub566	47.0	f	2
127	sub2128	29.0	m	1
128	sub888	22.0	m	8
129	sub476	70.5	f	9
130	sub2687	24.0	f	0
131	sub3066	59.89	f	9
132	sub2899	65.0	f	1
133	sub929	48.0	f	0
134	sub941	28.0	f	0
135	sub1548	18.0	f	4
136	sub1239	33.0	f	8
137	sub2706	25.0	f	8
138	sub395	67.46	f	9
139	sub686	24.0	f	1
140	sub867	21.0	m	3
141	sub2551	50.0	f	14
142	sub403	23.0	f	0
143	sub1969	23.0	m	0
144	sub198	22.0	f	14
145	sub1525	32.0	f	8
146	sub650	62.96	f	9
147	sub2469	60.0	m	1
148	sub3108	20.0	f	10
149	sub2283	60.54	m	9
150	sub2769	19.0	f	4
151	sub874	26.0	f	8
152	sub2709	40.0	f	2
153	sub734	19.0	m	2
154	sub3273	24.0	m	8
155	sub744	47.0	f	2
156	sub2139	29.0	m	10
157	sub2482	67.0	f	14
158	sub1927	27.0	f	13
159	sub792	55.0	f	0
160	sub2788	21.0	m	13
161	sub2822	43.0	m	2
162	sub2640	18.0	f	8
163	sub2795	24.0	m	8
164	sub793	31.0	m	0
165	sub1818	26.0	f	2
166	sub1572	58.77	f	9
167	sub802	23.0	f	0
168	sub2775	24.0	f	7
169	sub824	25.0	f	4
170	sub745	43.0	f	2
171	sub488	68.13	m	9
172	sub638	21.0	m	2
173	sub2967	23.0	m	4
174	sub520	64.75	m	9
175	sub3264	23.0	m	8
176	sub1968	54.0	f	14
177	sub1509	27.0	m	1
178	sub218	68.47	m	11
179	sub2745	31.59	f	9
180	sub2120	31.0	m	12
181	sub3150	21.0	f	4
182	sub1103	74.0	m	14
183	sub853	56.0	f	2
184	sub1056	25.93	f	9
185	sub1653	30.0	m	0
186	sub2119	57.0	m	6
187	sub1	26.0	f	0
188	sub2298	57.0	m	14
189	sub376	28.37	f	9
190	sub1575	20.0	f	14
191	sub545	21.0	m	13
192	sub732	31.0	m	3
193	sub5	48.0	m	3
194	sub2319	35.98	m	9
195	sub2022	50.0	f	13
196	sub1245	19.0	m	10
197	sub554	58.66	m	9
198	sub505	22.0	m	1
199	sub281	19.0	f	4
200	sub581	41.1	f	9
201	sub2731	19.0	f	8
202	sub1832	73.0	f	14
203	sub1334	58.57	f	9
204	sub1687	33.08	f	9
205	sub2161	24.0	f	1
206	sub136	23.6386	m	15
207	sub3118	26.0	f	1
208	sub1223	26.0	m	0
209	sub1446	21.0	m	2
210	sub2936	27.0	m	0
211	sub2502	58.79	f	9
212	sub2966	35.0	m	0
213	sub439	19.0	m	3
214	sub257	21.0	f	4
215	sub99	35.0	m	0
216	sub2418	18.0	m	14
